Municipios,Ano,Cacao,Cafe,Cana de azucar (1),Cana panelera (1),Platano (2)
Cali,2018.00,0,800,465000,0,198
Alcala,2018.00,0,2854,0,0,11205
Andalucia,2018.00,27,198,316800,0,1650
Ansermanuevo,2018.00,24,3291,177960,6160,7086
Argelia,2018.00,1,1517,0,2128,10584
Bolivar,2018.00,414,1387,72720,23808,5356
Buenaventura,2018.00,63,0,0,2550,1162
Buga,2018.00,5,0,779460,1330,132
Bugalagrande,2018.00,77,1511,1118130,14735,1992
Caicedonia,2018.00,42,5692,15000,550,23474
Calima Dari?n,2018.00,1,435,0,7160,1672
Candelaria,2018.00,2,0,2752360,74425,75
Cartago,2018.00,6,249,533756,3510,1548
Dagua,2018.00,266,779,0,15100,16485
El Aguila,2018.00,16,7061,0,2400,15870
El Cairo,2018.00,0,4117,0,3750,23745
El Cerrito,2018.00,0,191,2035800,0,0
El Dovio,2018.00,27,1047,0,13900,745
Florida,2018.00,16,4584,1314300,0,3240
Ginebra,2018.00,0,1091,356400,3120,392
Guacar?,2018.00,1,303,1679232,3570,270
Jamund?,2018.00,140,1074,828630,3180,487
La Cumbre,2018.00,0,662,0,735,3777
La Uni?n,2018.00,2,468,229120,0,252
La Victoria,2018.00,12,1174,195000,1500,760
Obando,2018.00,10,584,643550,3978,4666
Palmira,2018.00,8,381,4407000,12460,1416
Pradera,2018.00,0,516,1047750,0,100
Restrepo,2018.00,0,561,0,22425,3839
Riofr?o,2018.00,59,3763,251500,9280,29912
Roldanillo,2018.00,6,624,339918,396,930
San Pedro,2018.00,0,403,618490,31415,0
Sevilla,2018.00,11,5777,8000,11900,76464
Toro,2018.00,8,1505,223740,0,1450
Trujillo,2018.00,21,4542,12893,3872,36719
Tulu?,2018.00,37,4521,804100,2800,4221
Ulloa,2018.00,3,1113,0,0,2852
Versalles,2018.00,11,1175,0,37280,1978
Vijes,2018.00,0,427,16000,0,1256
Yotoco,2018.00,0,1118,343640,1360,9352
Yumbo,2018.00,0,295,173760,294,161
Zarzal,2018.00,3,0,1710855,2070,63
Cali,2017.00,0,710,418500,0,231
Alcala,2017.00,0,2854,0,0,11205
Andalucia,2017.00,10,174,347600,0,1020
Ansermanuevo,2017.00,19,3981,163130,6480,4656
Argelia,2017.00,1,0,0,3800,10320
Bolivar,2017.00,382,1685,71520,24448,4966
Buenaventura,2017.00,20,0,0,2420,1162
Buga,2017.00,8,487,853450,1190,210
Bugalagrande,2017.00,77,1511,1118130,14735,1992
Caicedonia,2017.00,42,5308,12000,1210,26055
Calima Dari?n,2017.00,1,426,0,7160,1536
Candelaria,2017.00,2,0,2614560,70850,80
Cartago,2017.00,1,266,446532,3975,1548
Dagua,2017.00,158,297,0,4500,4375
El Aguila,2017.00,16,7617,0,1850,13000
El Cairo,2017.00,0,3019,0,3750,30792
El Cerrito,2017.00,0,184,2105350,0,0
El Dovio,2017.00,14,863,0,8640,730
Florida,2017.00,16,1687,0,0,5400
Ginebra,2017.00,0,872,359640,3680,400
Guacar?,2017.00,2,416,1664256,3150,992
Jamund?,2017.00,144,1009,828900,3380,651
La Cumbre,2017.00,0,647,0,908,2184
La Uni?n,2017.00,2,467,206976,0,252
La Victoria,2017.00,40,1025,164000,1500,1184
Obando,2017.00,18,556,620004,4743,4416
Palmira,2017.00,3,331,4407000,12460,1416
Pradera,2017.00,0,818,990000,0,100
Restrepo,2017.00,0,610,0,22165,3818
Riofr?o,2017.00,66,3208,241800,8480,29788
Roldanillo,2017.00,6,645,331500,728,660
San Pedro,2017.00,0,390,612140,31415,0
Sevilla,2017.00,14,7000,8000,17850,43200
Toro,2017.00,9,2220,220440,0,1420
Trujillo,2017.00,21,4755,15680,4230,38533
Tulu?,2017.00,36,430,766480,2800,3704
Ulloa,2017.00,0,1033,0,0,1767
Versalles,2017.00,7,1152,0,36560,1856
Vijes,2017.00,0,420,14000,2420,1424
Yotoco,2017.00,0,1103,301290,2800,10416
Yumbo,2017.00,0,294,161184,273,120
Zarzal,2017.00,3,0,1724580,2970,87
Cali,2016.00,0,715,418500,0,161
Alcala,2016.00,0,2149,0,0,10000
Andalucia,2016.00,8,228,327800,0,150
Ansermanuevo,2016.00,20,4810,163130,2850,4554
Argelia,2016.00,2,1858,0,3000,9600
Bolivar,2016.00,382,1424,72600,24448,5551
Buenaventura,2016.00,12,0,0,8295,1218
Buga,2016.00,8,487,853450,1050,210
Bugalagrande,2016.00,75,2127,1118130,14735,1960
Caicedonia,2016.00,31,4742,12000,1020,26514
Calima Dari?n,2016.00,2,384,0,7320,1504
Candelaria,2016.00,2,0,3130790,70850,80
Cartago,2016.00,9,333,520929,3975,1494
Dagua,2016.00,153,939,0,15476,22374
El Aguila,2016.00,16,6223,0,3710,15210
El Cairo,2016.00,0,2873,0,3500,66420
El Cerrito,2016.00,0,180,1905150,83200,0
El Dovio,2016.00,14,520,0,10720,650
Florida,2016.00,14,1438,1257200,0,3276
Ginebra,2016.00,0,793,366300,2640,1071
Guacar?,2016.00,5,562,1409940,258,712
Jamund?,2016.00,188,1433,829350,3250,1208
La Cumbre,2016.00,0,644,0,425,2152
La Uni?n,2016.00,0,430,170688,284,179
La Victoria,2016.00,28,475,112670,5700,2440
Obando,2016.00,18,918,586800,6060,3348
Palmira,2016.00,3,413,3776500,12460,1692
Pradera,2016.00,0,569,1130800,0,70
Restrepo,2016.00,0,528,0,19440,5184
Riofr?o,2016.00,42,3064,253000,8400,28112
Roldanillo,2016.00,8,766,313000,720,684
San Pedro,2016.00,0,479,605790,30500,0
Sevilla,2016.00,22,7453,8000,16725,46176
Toro,2016.00,14,1578,200400,0,1230
Trujillo,2016.00,24,4448,14520,3330,38522
Tulu?,2016.00,27,4061,806300,2720,3704
Ulloa,2016.00,0,945,0,0,2655
Versalles,2016.00,10,955,0,36960,1730
Vijes,2016.00,0,585,12500,2310,1408
Yotoco,2016.00,0,1102,312950,2800,9968
Yumbo,2016.00,0,328,116250,84,40
Zarzal,2016.00,3,0,1826721,2160,87
Cali,2015.00,0,319,438350,0,173
Alcala,2015.00,0,1346,0,0,5275
Andalucia,2015.00,8,192,264000,0,500
Ansermanuevo,2015.00,17,4643,177960,4880,8280
Argelia,2015.00,7,1592,0,4280,18552
Bolivar,2015.00,174,1514,69000,25600,4992
Buenaventura,2015.00,8,0,0,8295,910
Buga,2015.00,8,483,731510,1050,210
Bugalagrande,2015.00,58,1433,1053592,15260,1960
Caicedonia,2015.00,13,5630,9000,7680,24723
Calima Dari?n,2015.00,2,424,0,7520,1560
Candelaria,2015.00,2,0,2752100,70850,95
Cartago,2015.00,7,215,520929,3975,1440
Dagua,2015.00,20,1154,0,21725,26400
El Aguila,2015.00,9,5847,0,3500,6808
El Cairo,2015.00,0,3486,0,4000,31320
El Cerrito,2015.00,0,123,1612000,88200,0
El Dovio,2015.00,7,475,0,12720,850
Florida,2015.00,14,816,920400,0,2856
Ginebra,2015.00,0,329,314050,2115,666
Guacar?,2015.00,5,261,1523844,2700,735
Jamund?,2015.00,161,694,828000,3250,714
La Cumbre,2015.00,0,455,0,475,2152
La Uni?n,2015.00,0,642,155347,228,171
La Victoria,2015.00,15,1080,164375,5700,1842
Obando,2015.00,10,562,622078,4403,3990
Palmira,2015.00,3,349,3783000,12460,1368
Pradera,2015.00,0,349,993740,0,70
Restrepo,2015.00,0,583,0,22035,3888
Riofr?o,2015.00,25,1991,242500,4840,34210
Roldanillo,2015.00,7,654,313000,720,624
San Pedro,2015.00,0,372,519176,29585,0
Sevilla,2015.00,13,7530,6300,14640,18250
Toro,2015.00,18,1464,201072,0,1000
Trujillo,2015.00,8,4021,12360,1755,34030
Tulu?,2015.00,22,2761,766480,1800,3696
Ulloa,2015.00,0,587,0,0,5200
Versalles,2015.00,4,1019,0,40040,1824
Vijes,2015.00,0,481,9500,950,1225
Yotoco,2015.00,0,702,272200,3040,9930
Yumbo,2015.00,0,286,133600,360,75
Zarzal,2015.00,3,0,1768560,2240,99
Cali,2014.00,0,0,0,0,0
Alcala,2014.00,0,0,0,0,0
Andalucia,2014.00,775,7943331,11194433,65893,0
Ansermanuevo,2014.00,0,0,0,0,0
Argelia,2014.00,0,66000,0,0,0
Bolivar,2014.00,0,0,0,0,0
Buenaventura,2014.00,9,29041,0,0,0
Buga,2014.00,34,642588,118688,1098,0
Bugalagrande,2014.00,8,0,0,1830,0
Caicedonia,2014.00,167,197640,33280,5187,0
Calima Dari?n,2014.00,0,0,0,1400,0
Candelaria,2014.00,5,63700,389270,210,0
Cartago,2014.00,44,241560,196500,3488,0
Dagua,2014.00,22,455175,7200,783,0
El Aguila,2014.00,2,0,0,960,0
El Cairo,2014.00,0,0,1378000,9720,0
El Cerrito,2014.00,5,48743,301635,477,0
El Dovio,2014.00,40,0,0,9480,0
Florida,2014.00,14,0,0,260,0
Ginebra,2014.00,0,0,0,584,0
Guacar?,2014.00,0,23940,1240000,0,0
Jamund?,2014.00,13,0,0,3180,0
La Cumbre,2014.00,8,180040,0,0,0
La Uni?n,2014.00,0,107400,143000,500,0
La Victoria,2014.00,3,66528,773880,408,0
Obando,2014.00,132,137610,512525,700,0
Palmira,2014.00,0,0,0,130,0
Pradera,2014.00,0,54988,77400,39,0
Restrepo,2014.00,40,61930,72150,864,0
Riofr?o,2014.00,21,132821,213197,1335,0
Roldanillo,2014.00,2,52000,2177000,2136,0
San Pedro,2014.00,0,57530,0,0,0
Sevilla,2014.00,0,0,0,1870,0
Toro,2014.00,46,290000,97200,1416,0
Trujillo,2014.00,9,98063,63576,324,0
Tulu?,2014.00,0,60579,283650,0,0
Ulloa,2014.00,19,693841,4240,1200,0
Versalles,2014.00,13,188328,0,0,0
Vijes,2014.00,17,602420,5000,408,0
Yotoco,2014.00,13,436770,371280,264,0
Yumbo,2014.00,0,0,0,0,0
Zarzal,2014.00,3,0,0,4530,0
Cali,2013.00,0,0,418325,0,248
Alcala,2013.00,0,2810,0,0,480
